246,37,111
246,37,111
246,37,109
246,37,109
246,37,106
246,37,106
246,37,103
246,37,103
246,38,101
246,38,101
246,39,98
246,39,98
246,40,95
246,40,95
246,42,93
246,42,93
245,43,90
245,43,90
245,45,88
245,45,88
245,47,85
245,47,85
244,48,83
244,48,83
243,50,80
243,50,80
242,52,78
242,52,78
242,54,75
242,54,75
241,57,73
241,57,73
240,59,70
240,59,70
238,61,68
238,61,68
237,63,65
237,63,65
236,65,63
236,65,63
235,67,61
235,67,61
233,70,59
233,70,59
232,72,56
232,72,56
230,74,54
230,74,54
228,76,52
228,76,52
227,78,50
227,78,50
225,80,48
225,80,48
223,82,45
223,82,45
221,84,43
221,84,43
219,86,41
219,86,41
217,88,39
217,88,39
215,90,37
215,90,37
213,92,36
213,92,36
211,94,34
211,94,34
209,96,32
209,96,32
207,98,30
207,98,30
204,99,29
204,99,29
202,101,27
202,101,27
200,103,26
200,103,26
197,104,24
197,104,24
195,106,23
195,106,23
193,108,22
193,108,22
190,109,21
190,109,21
188,111,20
188,111,20
185,112,19
185,112,19
182,114,19
182,114,19
180,115,19
180,115,19
177,116,19
177,116,19
175,118,19
175,118,19
172,119,19
172,119,19
169,120,20
169,120,20
167,121,21
167,121,21
164,122,22
164,122,22
161,124,23
161,124,23
159,125,25
159,125,25
156,126,26
156,126,26
153,127,28
153,127,28
151,128,29
151,128,29
148,129,31
148,129,31
145,129,33
145,129,33
143,130,35
143,130,35
140,131,37
140,131,37
137,132,39
137,132,39
134,133,41
134,133,41
132,134,44
132,134,44
129,134,46
129,134,46
126,135,48
126,135,48
124,136,50
124,136,50
121,136,53
121,136,53
118,137,55
118,137,55
116,137,58
116,137,58
113,138,60
113,138,60
110,138,63
110,138,63
108,139,65
108,139,65
105,139,68
105,139,68
102,140,71
102,140,71
100,140,73
100,140,73
97,141,76
97,141,76
94,141,79
94,141,79
92,141,81
92,141,81
89,142,84
89,142,84
87,142,87
87,142,87
84,142,90
84,142,90
81,142,92
81,142,92
79,142,95
79,142,95
76,143,98
76,143,98
74,143,101
74,143,101
71,143,104
71,143,104
69,143,106
69,143,106
66,143,109
66,143,109
64,143,112
64,143,112
62,143,115
62,143,115
60,143,117
60,143,117
57,143,120
57,143,120
55,143,123
55,143,123
53,143,126
53,143,126
52,143,128
52,143,128
50,143,131
50,143,131
49,143,134
49,143,134
47,143,136
47,143,136
46,143,139
46,143,139
46,142,141
46,142,141
45,142,144
45,142,144
45,142,146
45,142,146
45,142,149
45,142,149
46,141,151
46,141,151
47,141,154
47,141,154
48,141,156
48,141,156
50,140,158
50,140,158
51,140,160
51,140,160
53,139,162
53,139,162
56,139,165
56,139,165
58,138,166
58,138,166
61,138,168
61,138,168
64,137,170
64,137,170
67,137,172
67,137,172
70,136,174
70,136,174
73,135,175
73,135,175
77,135,177
77,135,177
80,134,178
80,134,178
84,133,180
84,133,180
87,132,181
87,132,181
91,132,182
91,132,182
94,131,183
94,131,183
98,130,184
98,130,184
102,129,185
102,129,185
106,128,186
106,128,186
109,127,187
109,127,187
113,126,188
113,126,188
117,125,188
117,125,188
121,123,189
121,123,189
125,122,189
125,122,189
129,121,189
129,121,189
132,120,190
132,120,190
136,118,190
136,118,190
140,117,190
140,117,190
144,116,190
144,116,190
147,114,189
147,114,189
151,113,189
151,113,189
155,111,189
155,111,189
158,109,188
158,109,188
162,108,188
162,108,188
165,106,187
165,106,187
169,105,186
169,105,186
172,103,185
172,103,185
176,101,184
176,101,184
179,99,183
179,99,183
182,97,182
182,97,182
186,95,181
186,95,181
189,93,180
189,93,180
192,91,178
192,91,178
195,89,177
195,89,177
198,87,175
198,87,175
201,85,174
201,85,174
204,83,172
204,83,172
206,81,170
206,81,170
209,79,168
209,79,168
211,77,167
211,77,167
214,75,165
214,75,165
216,72,163
216,72,163
219,70,161
219,70,161
221,68,158
221,68,158
223,66,156
223,66,156
225,63,154
225,63,154
227,61,152
227,61,152
229,59,149
229,59,149
231,57,147
231,57,147
233,55,145
233,55,145
234,53,142
234,53,142
236,50,140
236,50,140
237,48,137
237,48,137
238,47,135
238,47,135
240,45,132
240,45,132
241,43,130
241,43,130
242,42,127
242,42,127
243,40,124
243,40,124
243,39,122
243,39,122
244,38,119
244,38,119
245,37,117
245,37,117
245,37,114
245,37,114
